,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",43653241,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"Dance Monkey","Tones and I",40578037,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"The Box","Roddy Ricch",39857901,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,"Don't Start Now","Dua Lipa",32565008,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,"Intentions (feat. Quavo)","Justin Bieber",31250257,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,Tusa,"KAROL G",28807586,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
7,"After Hours","The Weeknd",27647920,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
8,Falling,"Trevor Daniel",26592499,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,ROXANNE,"Arizona Zervas",25517030,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,"No Time To Die","Billie Eilish",25455582,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
11,Yummy,"Justin Bieber",22886859,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
12,"Life Is Good (feat. Drake)",Future,21404894,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
13,"everything i wanted","Billie Eilish",21349420,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,Circles,"Post Malone",20243969,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,Ignorantes,"Bad Bunny",19993952,https://open.spotify.com/track/3wYRLYuO1M88d8woWUIxct
16,"Someone You Loved","Lewis Capaldi",19624844,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"Say So","Doja Cat",18761305,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
18,Memories,"Maroon 5",18651351,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
